"trial_type","trial_index","time_elapsed","internal_node_id","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","task","slide_name","correct_answer","ai_answer","difficulty","rank","items","correct","ai_certainty","question_order","confidence_rating","trust_rating","mental_demand","physical_demand","temporal_demand","performance","effort","frustration"
"pavlovia","0","609","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","1112","0.0-1.0","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","2","2274","0.0-2.0","","","","","","1161","
      <div>
        <h1>Human-Automation Study</h1>
        <p>You will see a series of luggage X-ray images.</p>
        <p>For each image, decide whether it contains a dangerous object.</p>
        <br>
        <p>Press S : Safe </p>
        <p>Press D : Danger </p>
        <br>
        <p><em>Press any key to begin.</em></p>
      </div>","s","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","3","2883","0.0-3.0","","","","","","609","
      <div>
        <h1>Block Transparent AI</h1>
        <p><em>Press any key to begin.</em></p>
      </div>","s","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","4","3884","0.0-4.0","","","","","","null","<div class=""baggage"">Baggage incoming</div> <div class=""ai-pipeline""><div>Initializing runtime environment</div>  <div>Loading image</div>  <div>Searching database</div>  <div>Comparing patterns</div>  <div>Resolving output</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","5","4558","0.0-5.0","","","","","","666","img_transparent/Image88.jpg","d","transparent_trial","Image88","Danger","Danger","0.43","108","6","1","87","","","","","","","","",""
"html-keyboard-response","6","5060","0.0-6.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Danger</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","6120","0.0-7.0","","","","","","null","<div class=""baggage"">Baggage incoming</div> <div class=""ai-pipeline""><div>Initializing runtime environment</div>  <div>Loading image</div>  <div>Searching database</div>  <div>Comparing patterns</div>  <div>Resolving output</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","8","6789","0.0-8.0","","","","","","662","img_transparent/Image19.jpg","s","transparent_trial","Image19","Safe","Safe","0.1","32","2","1","97","","","","","","","","",""
"html-keyboard-response","9","7290","0.0-9.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","10","8293","0.0-10.0","","","","","","null","<div class=""baggage"">Baggage incoming</div> <div class=""ai-pipeline""><div>Initializing runtime environment</div>  <div>Loading image</div>  <div>Searching database</div>  <div>Comparing patterns</div>  <div>Resolving output</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","11","8962","0.0-11.0","","","","","","657","img_transparent/Image54.jpg","s","transparent_trial","Image54","Safe","Safe","0.78","149","6","1","76","","","","","","","","",""
"html-keyboard-response","12","9463","0.0-12.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","13","10465","0.0-13.0","","","","","","null","<div class=""baggage"">Baggage incoming</div> <div class=""ai-pipeline""><div>Initializing runtime environment</div>  <div>Loading image</div>  <div>Searching database</div>  <div>Comparing patterns</div>  <div>Resolving output</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","14","11072","0.0-14.0","","","","","","600","img_transparent/Image6.jpg","s","transparent_trial","Image6","Safe","Safe","0.06","12","3","1","98","","","","","","","","",""
"html-keyboard-response","15","11575","0.0-15.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","16","12578","0.0-16.0","","","","","","null","<div class=""baggage"">Baggage incoming</div> <div class=""ai-pipeline""><div>Initializing runtime environment</div>  <div>Loading image</div>  <div>Searching database</div>  <div>Comparing patterns</div>  <div>Resolving output</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","17","13106","0.0-17.0","","","","","","513","img_transparent/Image63.jpg","s","transparent_trial","Image63","Safe","Safe","0.33","87","6","1","90","","","","","","","","",""
"html-keyboard-response","18","13607","0.0-18.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","19","14608","0.0-19.0","","","","","","null","<div class=""baggage"">Baggage incoming</div> <div class=""ai-pipeline""><div>Initializing runtime environment</div>  <div>Loading image</div>  <div>Searching database</div>  <div>Comparing patterns</div>  <div>Resolving output</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","20","15110","0.0-20.0","","","","","","490","img_transparent/Image1.jpg","s","transparent_trial","Image1","Safe","Safe","0.09","28","4","1","97","","","","","","","","",""
"html-keyboard-response","21","15611","0.0-21.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","22","16613","0.0-22.0","","","","","","null","<div class=""baggage"">Baggage incoming</div> <div class=""ai-pipeline""><div>Initializing runtime environment</div>  <div>Loading image</div>  <div>Searching database</div>  <div>Comparing patterns</div>  <div>Resolving output</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","23","17113","0.0-23.0","","","","","","489","img_transparent/Image50.jpg","s","transparent_trial","Image50","Safe","Safe","0.27","73","5","1","92","","","","","","","","",""
"html-keyboard-response","24","17615","0.0-24.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","25","18616","0.0-25.0","","","","","","null","<div class=""baggage"">Baggage incoming</div> <div class=""ai-pipeline""><div>Initializing runtime environment</div>  <div>Loading image</div>  <div>Searching database</div>  <div>Comparing patterns</div>  <div>Resolving output</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","26","19094","0.0-26.0","","","","","","466","img_transparent/Image102.jpg","s","transparent_trial","Image102","Safe","Safe","0.19","53","5","1","94","","","","","","","","",""
"html-keyboard-response","27","19595","0.0-27.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","28","20596","0.0-28.0","","","","","","null","<div class=""baggage"">Baggage incoming</div> <div class=""ai-pipeline""><div>Initializing runtime environment</div>  <div>Loading image</div>  <div>Searching database</div>  <div>Comparing patterns</div>  <div>Resolving output</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","29","21178","0.0-29.0","","","","","","574","img_transparent/Image90.jpg","d","transparent_trial","Image90","Danger","Danger","0.14","44","6","1","96","","","","","","","","",""
"html-keyboard-response","30","21679","0.0-30.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Danger</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","31","22679","0.0-31.0","","","","","","null","<div class=""baggage"">Baggage incoming</div> <div class=""ai-pipeline""><div>Initializing runtime environment</div>  <div>Loading image</div>  <div>Searching database</div>  <div>Comparing patterns</div>  <div>Resolving output</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","32","23261","0.0-32.0","","","","","","565","img_transparent/Image12.jpg","s","transparent_trial","Image12","Safe","Safe","0.07","20","4","1","98","","","","","","","","",""
"html-keyboard-response","33","23762","0.0-33.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"survey-likert","34","28234","0.0-34.0","","","","","","4469","","{""confidence"":6,""trust"":6}","questionnaire","","","","","","","","","[0,1]","","","","","","","",""
"html-keyboard-response","35","29512","0.0-35.0","","","","","","1276","
              <div style=""font-family:sans-serif; text-align:center; margin-top:100px;"">
                <h2>Block Feedback</h2>
                <p style=""font-size:3em; font-weight:bold; margin-top:20px;"">10 / 10</p>
                <p><em>Press any key to continue.</em></p>
              </div>","s","","","","","","","","","","","","","","","","","",""
"survey-likert","36","34226","0.0-36.0","","","","","","4712","","{""confidence"":4,""trust"":4}","questionnaire","","","","","","","","","[0,1]","","","","","","","",""
"html-keyboard-response","37","35227","0.0-37.0","","","","","","null","<div class=""baggage"">Baggage incoming</div> <div class=""ai-pipeline""><div>Initializing runtime environment</div>  <div>Loading image</div>  <div>Searching database</div>  <div>Comparing patterns</div>  <div>Resolving output</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","38","36460","0.0-38.0","","","","","","1224","img_transparent/Image122.jpg","s","transparent_trial","Image122","Safe","Safe","0.4","102","7","1","88","","","","","","","","",""
"html-keyboard-response","39","36961","0.0-39.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","40","37962","0.0-40.0","","","","","","null","<div class=""baggage"">Baggage incoming</div> <div class=""ai-pipeline""><div>Initializing runtime environment</div>  <div>Loading image</div>  <div>Searching database</div>  <div>Comparing patterns</div>  <div>Resolving output</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","41","38782","0.0-41.0","","","","","","807","img_transparent/Image97.jpg","s","transparent_trial","Image97","Safe","Safe","0.48","123","9","1","85","","","","","","","","",""
"html-keyboard-response","42","39283","0.0-42.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","43","40286","0.0-43.0","","","","","","null","<div class=""baggage"">Baggage incoming</div> <div class=""ai-pipeline""><div>Initializing runtime environment</div>  <div>Loading image</div>  <div>Searching database</div>  <div>Comparing patterns</div>  <div>Resolving output</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","44","40859","0.0-44.0","","","","","","565","img_transparent/Image30.jpg","d","transparent_trial","Image30","Danger","Danger","0.05","7","4","1","98","","","","","","","","",""
"html-keyboard-response","45","41360","0.0-45.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Danger</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","46","42361","0.0-46.0","","","","","","null","<div class=""baggage"">Baggage incoming</div> <div class=""ai-pipeline""><div>Initializing runtime environment</div>  <div>Loading image</div>  <div>Searching database</div>  <div>Comparing patterns</div>  <div>Resolving output</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","47","42921","0.0-47.0","","","","","","551","img_transparent/Image131.jpg","s","transparent_trial","Image131","Safe","Safe","0.29","79","4","1","91","","","","","","","","",""
"html-keyboard-response","48","43422","0.0-48.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","49","44423","0.0-49.0","","","","","","null","<div class=""baggage"">Baggage incoming</div> <div class=""ai-pipeline""><div>Initializing runtime environment</div>  <div>Loading image</div>  <div>Searching database</div>  <div>Comparing patterns</div>  <div>Resolving output</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","50","44985","0.0-50.0","","","","","","552","img_transparent/Image93.jpg","s","transparent_trial","Image93","Safe","Safe","0.39","100","5","1","88","","","","","","","","",""
"html-keyboard-response","51","45486","0.0-51.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","52","46486","0.0-52.0","","","","","","null","<div class=""baggage"">Baggage incoming</div> <div class=""ai-pipeline""><div>Initializing runtime environment</div>  <div>Loading image</div>  <div>Searching database</div>  <div>Comparing patterns</div>  <div>Resolving output</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","53","47015","0.0-53.0","","","","","","520","img_transparent/Image44.jpg","s","transparent_trial","Image44","Safe","Safe","0.11","36","6","1","97","","","","","","","","",""
"html-keyboard-response","54","47517","0.0-54.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","55","48517","0.0-55.0","","","","","","null","<div class=""baggage"">Baggage incoming</div> <div class=""ai-pipeline""><div>Initializing runtime environment</div>  <div>Loading image</div>  <div>Searching database</div>  <div>Comparing patterns</div>  <div>Resolving output</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","56","48947","0.0-56.0","","","","","","421","img_transparent/Image11.jpg","s","transparent_trial","Image11","Safe","Safe","0.08","25","3","1","98","","","","","","","","",""
"html-keyboard-response","57","49448","0.0-57.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","58","50450","0.0-58.0","","","","","","null","<div class=""baggage"">Baggage incoming</div> <div class=""ai-pipeline""><div>Initializing runtime environment</div>  <div>Loading image</div>  <div>Searching database</div>  <div>Comparing patterns</div>  <div>Resolving output</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","59","51097","0.0-59.0","","","","","","633","img_transparent/Image114.jpg","s","transparent_trial","Image114","Safe","Safe","0.56","138","6","1","83","","","","","","","","",""
"html-keyboard-response","60","51599","0.0-60.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","61","52600","0.0-61.0","","","","","","null","<div class=""baggage"">Baggage incoming</div> <div class=""ai-pipeline""><div>Initializing runtime environment</div>  <div>Loading image</div>  <div>Searching database</div>  <div>Comparing patterns</div>  <div>Resolving output</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","62","53116","0.0-62.0","","","","","","506","img_transparent/Image124.jpg","s","transparent_trial","Image124","Safe","Safe","0.45","117","6","1","86","","","","","","","","",""
