"trial_type","trial_index","time_elapsed","internal_node_id","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","task","slide_name","correct_answer","difficulty","rank","items","correct","question_order","mental_demand","physical_demand","temporal_demand","performance","effort","frustration","ai_answer","confidence_rating","trust_rating","ai_certainty"
"pavlovia","0","659","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","1543","0.0-1.0","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","2","65343","0.0-2.0","","","","","","63799","
      <div>
        <h1>Human-Automation Study</h1>
        <p>You will see a series of luggage X-ray images.</p>
        <p>For each image, decide whether it contains a dangerous object.</p>
        <br>
        <p>Press S : Safe </p>
        <p>Press D : Danger </p>
        <br>
        <p><em>Press any key to begin.</em></p>
      </div>","s","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","3","69346","0.0-3.0","","","","","","null","<div class=""baggage""><div>Baggage incoming</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","4","70372","0.0-4.0","","","","","","1014","img/Image27.jpg","d","standard_trial","Image27","Danger","0.04","1","3","1","","","","","","","","","","",""
"html-keyboard-response","5","71374","0.0-5.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Danger</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","6","72377","0.0-6.0","","","","","","null","
              <div style=""font-family:sans-serif; text-align:center;"">
                <p class=correct>Correct</p>
              </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","76378","0.0-7.0","","","","","","null","<div class=""baggage""><div>Baggage incoming</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","8","77546","0.0-8.0","","","","","","1156","img/Image74.jpg","s","standard_trial","Image74","Safe","0.42","106","4","1","","","","","","","","","","",""
"html-keyboard-response","9","78548","0.0-9.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","10","79550","0.0-10.0","","","","","","null","
              <div style=""font-family:sans-serif; text-align:center;"">
                <p class=correct>Correct</p>
              </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","11","83551","0.0-11.0","","","","","","null","<div class=""baggage""><div>Baggage incoming</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","12","84622","0.0-12.0","","","","","","1063","img/Image82.jpg","d","standard_trial","Image82","Danger","0.06","16","7","1","","","","","","","","","","",""
"html-keyboard-response","13","85624","0.0-13.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Danger</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","14","86626","0.0-14.0","","","","","","null","
              <div style=""font-family:sans-serif; text-align:center;"">
                <p class=correct>Correct</p>
              </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","15","90627","0.0-15.0","","","","","","null","<div class=""baggage""><div>Baggage incoming</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","16","92050","0.0-16.0","","","","","","1415","img/Image39.jpg","s","standard_trial","Image39","Safe","0.2","54","7","1","","","","","","","","","","",""
"html-keyboard-response","17","93052","0.0-17.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","18","94053","0.0-18.0","","","","","","null","
              <div style=""font-family:sans-serif; text-align:center;"">
                <p class=correct>Correct</p>
              </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","19","98054","0.0-19.0","","","","","","null","<div class=""baggage""><div>Baggage incoming</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","20","99790","0.0-20.0","","","","","","1722","img/Image52.jpg","s","standard_trial","Image52","Safe","0.44","113","7","1","","","","","","","","","","",""
"html-keyboard-response","21","100791","0.0-21.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","22","101793","0.0-22.0","","","","","","null","
              <div style=""font-family:sans-serif; text-align:center;"">
                <p class=correct>Correct</p>
              </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","23","105796","0.0-23.0","","","","","","null","<div class=""baggage""><div>Baggage incoming</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","24","107234","0.0-24.0","","","","","","1423","img/Image58.jpg","s","standard_trial","Image58","Safe","0.47","120","4","1","","","","","","","","","","",""
"html-keyboard-response","25","108235","0.0-25.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","26","109238","0.0-26.0","","","","","","null","
              <div style=""font-family:sans-serif; text-align:center;"">
                <p class=correct>Correct</p>
              </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","27","113239","0.0-27.0","","","","","","null","<div class=""baggage""><div>Baggage incoming</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","28","115296","0.0-28.0","","","","","","2050","img/Image32.jpg","s","standard_trial","Image32","Safe","0.22","58","4","1","","","","","","","","","","",""
"html-keyboard-response","29","116298","0.0-29.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","30","117299","0.0-30.0","","","","","","null","
              <div style=""font-family:sans-serif; text-align:center;"">
                <p class=correct>Correct</p>
              </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","31","121301","0.0-31.0","","","","","","null","<div class=""baggage""><div>Baggage incoming</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","32","122765","0.0-32.0","","","","","","1452","img/Image101.jpg","s","standard_trial","Image101","Safe","0.36","96","7","1","","","","","","","","","","",""
"html-keyboard-response","33","123766","0.0-33.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","34","124767","0.0-34.0","","","","","","null","
              <div style=""font-family:sans-serif; text-align:center;"">
                <p class=correct>Correct</p>
              </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","35","128814","0.0-35.0","","","","","","null","<div class=""baggage""><div>Baggage incoming</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","36","130012","0.0-36.0","","","","","","1187","img/Image8.jpg","s","standard_trial","Image8","Safe","0.06","13","4","1","","","","","","","","","","",""
"html-keyboard-response","37","131013","0.0-37.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","38","132014","0.0-38.0","","","","","","null","
              <div style=""font-family:sans-serif; text-align:center;"">
                <p class=correct>Correct</p>
              </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","39","136016","0.0-39.0","","","","","","null","<div class=""baggage""><div>Baggage incoming</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","40","137273","0.0-40.0","","","","","","1248","img/Image113.jpg","s","standard_trial","Image113","Safe","0.5","125","5","1","","","","","","","","","","",""
"html-keyboard-response","41","138274","0.0-41.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","42","139275","0.0-42.0","","","","","","null","
              <div style=""font-family:sans-serif; text-align:center;"">
                <p class=correct>Correct</p>
              </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","43","142080","0.0-43.0","","","","","","2804","
              <div style=""font-family:sans-serif; text-align:center; margin-top:100px;"">
                <h2>Block Feedback</h2>
                <p style=""font-size:3em; font-weight:bold; margin-top:20px;"">10 / 10</p>
                <p><em>Press any key to continue.</em></p>
              </div>","s","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","44","146081","0.0-44.0","","","","","","null","<div class=""baggage""><div>Baggage incoming</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","45","147865","0.0-45.0","","","","","","1775","img/Image104.jpg","s","standard_trial","Image104","Safe","0.22","61","8","1","","","","","","","","","","",""
"html-keyboard-response","46","148866","0.0-46.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","47","149868","0.0-47.0","","","","","","null","
              <div style=""font-family:sans-serif; text-align:center;"">
                <p class=correct>Correct</p>
              </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","48","153870","0.0-48.0","","","","","","null","<div class=""baggage""><div>Baggage incoming</div></div>","null","","","","","","","","","","","","","","","","","",""
